dataset,pooling,learning_rate,feature_dim,seed,trained_epochs,train_loss,train_accuracy,train_f1_score,train_auc,train_precision,train_recall,test_loss,test_accuracy,test_f1_score,test_auc,test_precision,test_recall
panda-patches_512_preset-features_UNI,mean,0.001,64,4,50,,0.9268396427052318,0.9482551143200962,0.979438028248343,0.978274363749224,0.9200233508464681,,0.8846153846153846,0.9149198520345253,0.9634693279181645,0.9797535211267606,0.8581341557440246
panda-patches_512_preset-features_UNI,mean,0.001,128,0,50,,0.9099673897632213,0.9356179661360641,0.9752684157841475,0.9767146486028789,0.8978400467016929,,0.8879598662207357,0.9173179761415056,0.9620514141130515,0.9832451499118166,0.8596761757902853
panda-patches_512_preset-features_UNI,mean,0.001,128,1,50,,0.9119523606975755,0.9369351071392302,0.9755601996981309,0.97982158028887,0.897645456314458,,0.8639910813823858,0.8973927670311186,0.9571166396994146,0.9870490286771508,0.8226676946800309
panda-patches_512_preset-features_UNI,mean,0.001,128,2,50,,0.8969232950517511,0.9252903093207275,0.9688049445885065,0.9804006968641115,0.8760459233313874,,0.8690078037904125,0.9023680930619028,0.9506972443760482,0.9783783783783784,0.8373168851195065
panda-patches_512_preset-features_UNI,mean,0.001,128,3,50,,0.9069899333616901,0.9334685598377281,0.9723587099938328,0.9747934759584834,0.8955049620548745,,0.8879598662207357,0.9196963643627647,0.9563115004599688,0.9543946932006634,0.887432536622976
panda-patches_512_preset-features_UNI,mean,0.001,128,4,50,,0.9129448461647526,0.9379296401132228,0.9741195293311968,0.9760151483273722,0.9027048063825647,,0.8706800445930881,0.9036544850498339,0.9593257307918442,0.9792979297929792,0.8388589051657671
panda-patches_512_preset-features_UNI,mean,0.0001,64,0,50,,0.9170565716716291,0.9406272201359992,0.9764642214971341,0.9830292745014849,0.9017318544463904,,0.8957636566332219,0.9240146281999188,0.9610135756714535,0.9768041237113402,0.8766383962991519
panda-patches_512_preset-features_UNI,mean,0.0001,64,1,50,,0.9203175953494966,0.9432208526975147,0.9801094870845458,0.9808783357848287,0.9083479276123759,,0.8779264214046822,0.9092416079569001,0.9621631097300845,0.9829749103942652,0.8457979953739398
panda-patches_512_preset-features_UNI,mean,0.0001,64,2,50,,0.9167730043952927,0.9404000406132602,0.9783433302365606,0.9832271762208068,0.9011480832846858,,0.8907469342251951,0.919672131147541,0.9616899546857087,0.9816272965879265,0.8650732459521974
panda-patches_512_preset-features_UNI,mean,0.0001,64,3,50,,0.9137955479937615,0.9378958120531155,0.9784431671019025,0.9870995484841969,0.8933644677952909,,0.89520624303233,0.9237012987012987,0.9636942704802446,0.9751499571550986,0.8774094063222821
panda-patches_512_preset-features_UNI,mean,0.0001,64,4,50,,0.9218772153693464,0.9444612438262272,0.9785004563825749,0.979715600167294,0.9116559641953688,,0.8879598662207357,0.9179256839526337,0.9634600199500782,0.9756944444444444,0.866615265998458
panda-patches_512_preset-features_UNI,mean,0.0001,128,0,50,,0.9122359279739118,0.9369974554707379,0.9765577550165991,0.9822876653862569,0.8956995524421094,,0.8979933110367893,0.926060606060606,0.9615844643807332,0.9728353140916808,0.8835774865073246
