dataset,pooling,learning_rate,feature_dim,seed,trained_epochs,train_loss,train_accuracy,train_f1_score,train_auc,train_precision,train_recall,test_loss,test_accuracy,test_f1_score,test_auc,test_precision,test_recall
rsna-features_resnet18,attention,0.0001,64,1,50,,0.8775,0.8541666666666666,0.9347827489852154,0.8367346938775511,0.8723404255319149,,0.7866666666666666,0.7866666666666666,0.8586182336182336,0.7564102564102564,0.8194444444444444
rsna-features_resnet18,attention,0.0001,64,2,50,,0.885,0.8685714285714285,0.9531359908104725,0.8194070080862533,0.9240121580547113,,0.8266666666666667,0.8088235294117647,0.8876424501424501,0.859375,0.7638888888888888
rsna-features_resnet18,attention,0.0001,64,3,50,,0.8475,0.8221574344023324,0.9152711362360366,0.7899159663865546,0.8571428571428571,,0.84,0.8285714285714286,0.8693019943019944,0.8529411764705882,0.8055555555555556
rsna-features_resnet18,attention,0.0001,64,4,50,,0.89375,0.8733233979135618,0.9509225020811957,0.8567251461988304,0.8905775075987842,,0.8133333333333334,0.78125,0.8858618233618233,0.8928571428571429,0.6944444444444444
rsna-features_resnet18,attention,0.0001,128,0,50,,0.88375,0.861812778603269,0.943914196658471,0.8430232558139535,0.8814589665653495,,0.8266666666666667,0.8266666666666667,0.8883547008547008,0.7948717948717948,0.8611111111111112
rsna-features_resnet18,attention,0.0001,128,1,50,,0.8975,0.8738461538461538,0.9514323143541195,0.8847352024922118,0.8632218844984803,,0.8066666666666666,0.7851851851851852,0.8776709401709402,0.8412698412698413,0.7361111111111112
rsna-features_resnet18,attention,0.0001,128,2,50,,0.885,0.8618618618618619,0.9486444801528147,0.8516320474777448,0.8723404255319149,,0.8333333333333334,0.8299319727891157,0.8915598290598291,0.8133333333333334,0.8472222222222222
rsna-features_resnet18,attention,0.0001,128,3,50,,0.9,0.8820058997050148,0.950974128640479,0.8567335243553008,0.9088145896656535,,0.84,0.8208955223880597,0.8967236467236468,0.8870967741935484,0.7638888888888888
rsna-features_resnet18,attention,0.0001,128,4,50,,0.87,0.8429003021148036,0.931020463477436,0.8378378378378378,0.8480243161094225,,0.82,0.8187919463087249,0.8922720797720798,0.7922077922077922,0.8472222222222222
rsna-features_resnet18,mean,0.001,64,0,50,,0.85375,0.8191653786707882,0.924399357249337,0.8333333333333334,0.8054711246200608,,0.8466666666666667,0.8345323741007195,0.913105413105413,0.8656716417910447,0.8055555555555556
rsna-features_resnet18,mean,0.001,64,1,50,,0.85875,0.8320950965824666,0.930162171929349,0.813953488372093,0.851063829787234,,0.8533333333333334,0.8472222222222222,0.9193376068376068,0.8472222222222222,0.8472222222222222
rsna-features_resnet18,mean,0.001,64,2,50,,0.835,0.8,0.913254473764028,0.797583081570997,0.8024316109422492,,0.8266666666666667,0.8088235294117647,0.9022435897435899,0.859375,0.7638888888888888
rsna-features_resnet18,mean,0.001,64,3,50,,0.875,0.8498498498498499,0.9392936196026047,0.8397626112759644,0.8601823708206687,,0.86,0.8590604026845637,0.9189814814814815,0.8311688311688312,0.8888888888888888
rsna-features_resnet18,mean,0.001,64,4,50,,0.8625,0.8270440251572327,0.9265934860188823,0.8566775244299675,0.7993920972644377,,0.8533333333333334,0.8450704225352113,0.9109686609686609,0.8571428571428571,0.8333333333333334
rsna-features_resnet18,mean,0.001,128,0,50,,0.86125,0.8360413589364845,0.9304009447660349,0.8132183908045977,0.8601823708206687,,0.8466666666666667,0.8296296296296296,0.9084757834757835,0.8888888888888888,0.7777777777777778
rsna-features_resnet18,mean,0.001,128,1,50,,0.86625,0.8330733229329174,0.9299943856116779,0.8557692307692307,0.8115501519756839,,0.8533333333333334,0.8472222222222222,0.9166666666666667,0.8472222222222222,0.8472222222222222
rsna-features_resnet18,mean,0.001,128,2,50,,0.8425,0.8108108108108109,0.9202240592672901,0.8011869436201781,0.8206686930091185,,0.8333333333333334,0.8120300751879699,0.9099002849002849,0.8852459016393442,0.75
rsna-features_resnet18,mean,0.001,128,3,50,,0.86875,0.8467153284671532,0.9409779360992263,0.8146067415730337,0.8814589665653495,,0.8466666666666667,0.847682119205298,0.9134615384615384,0.810126582278481,0.8888888888888888
rsna-features_resnet18,mean,0.001,128,4,50,,0.8625,0.8297213622291022,0.9280132163991764,0.8454258675078864,0.8145896656534954,,0.86,0.851063829787234,0.9245014245014245,0.8695652173913043,0.8333333333333334
rsna-features_resnet18,mean,0.0001,64,0,50,,0.83625,0.8012139605462822,0.9125058886544183,0.8,0.8024316109422492,,0.84,0.8208955223880597,0.9045584045584045,0.8870967741935484,0.7638888888888888
rsna-features_resnet18,mean,0.0001,64,1,50,,0.855,0.8204334365325078,0.924250930891397,0.8359621451104101,0.8054711246200608,,0.84,0.8356164383561644,0.9099002849002849,0.8243243243243243,0.8472222222222222
